古奈堡精品旅館,Good9stay Hotel,萬華區峨眉街28號5樓之1,"5F.-1, No. 28, Emei St.",02-23816808,8
豐宿創新壹旅,GHotel,大同區南京西路165號6樓,"6F, No. 165, Nanjing W. Rd., Datong Dist.",02-77557937,28
洛碁大飯店中華館,Green World Zhonghua,中正區中華路一段41號2樓、3樓、10樓至14樓,"2,3,10-14F., No.41, Sec. 1, Zhonghua Rd., Zhongzheng Dist.",02-23705158,197
晶華酒店,Regent Taipei,中山區中山北路2段39巷3號,"No.3, Ln. 39, Sec. 2, Zhongshan N. Rd., Zhongshan Dist.",02-25238000,550
台北國泰萬怡酒店,Courtyard by Marriott Taipei Downtown,中山區民生東路三段6號地下1樓、1、2、14至20樓,"No.6,Sec 3,Minsheng E.Rd.,Zhongshan Dist.",02-77503377,227
時尚居商旅,Fashion Residence Business Travel Limited,"中山區民生東路三段9巷1之1號2樓, 1之1號 3樓,1之1號4樓, 1之2號2樓, 1之2號3樓, 1之2號4樓, 1之3號2樓, 1之3號3樓, 1之3號4樓","No. 1-1, Sec. 3, Minquan E. Rd., Zhongshan Dist.",02-25090102,8
新驛旅店,CityInn Hotel Branch 1,中正區懷寧街7號,"No.7, Huaining St., Zhongzheng Dist.",02-23148008,51
美侖商旅,Parkview Taipei,中山區吉林路49號1至8樓,"No.49,Jilin Rd.,Jhongshan Dist.",02-25313535,70
長虹大飯店,RAINBOW HOTEL,"萬華區漢中街36號1,3-8樓","No.36, Hanzhong St., Wanhua Dist.",02-23119193,68
大師會館國際酒店,Master Inn,大同區市民大道1段211號16樓等25室,"Civic Boulevard, 16th Floor, No. 211, Section 1, Datong Dist.",02-25597722,24
內江賓?,Nei Jiang Hotel,萬華區西寧南路112號2-6樓,"No.112, Xining S. Rd., Wanhua Dist.",02-23812147,17
町記憶旅店2館,Cho Hotel,萬華區昆明街113號2-4樓，115號1-4樓,"No.119,-1~-6,No.117,-1~-6, Kunming St., Wanhua Dist.",02-23709830,27
旅家雅舍,Cho Hotel,中正區南昌路二段222號11樓,"No.119,-1~-6,No.117,-1~-6, Kunming St., Wanhua Dist.",0926-657353,7
斯格加旅店,4 Plus Hostel,中山區林森北路72號1樓至4樓,"1~4F., No.72, Linsen N. Rd., Zhongshan Dist.",02-25629117,7
涪美飯店,Hotel B7 Journey,中正區重慶南路一段94號,"No. 94, Sec.1, Chongqing S. Rd.., Zhongzheng Dist.",02-23810086,49
清翼居旅店童話館,Morwing Hotel Fairytale,中正區開封街1段36號3-7樓,"3F-7F, No.36, Sec.1, Kaifeng St., Zhongzheng Dist",02-23117168,39
溫拿旅館,WARM LIFE HOTEL,北投區承德路7段380號1-5樓,"1-5F., No.380, Sec. 7, Chengde Rd., Beitou Dist.",02-28213191,28
賓王大飯店,KING PLAZE HOTEL,大同區南京西路163號3至4樓,"3-4F., No.163, Nanjing W. Rd., Datong Dist.",02-25555182,53
采舍精品旅館,Caishe Hotel,中山區農安街34號3樓及7樓,"3 and 7 F., No.34, Nong-an St., Jhongshan District",02-25963969,35
福爾摩莎壹零壹旅館,Formosa101 Hostel,信義區基隆路二段115號5樓、5樓之1及9樓,"5F&9F., No.115, Sec. 2, Keelung Rd., Xinyi Dist.",02-23771579,34
雅璞文旅,Apause INN,中正區黎明里10鄰館前路8號5樓及8樓,"5F, No. 8, Guanqian Rd, Zhongzheng District, 10047",02-23709966,64
台北五號商旅,chez Taipei No5,中正區延平南路160之5號(1樓至4樓),"No.160-5, Yanping S. Rd., Zhongzheng Dist.",02-23883067,6
